"entity_name","case_no","date","status"
"Coincasso OÜ","C230210","08.03.2023","in progress"
"CoinEx Global Limited OÜ","C201239","11.06.2020","cancelled"
"CoinGroup OÜ","C200073","13.01.2020","finished"
"CoinHi QN OÜ","C201498","21.07.2020","finished"
"CoinstockX OÜ","C201197","09.06.2020","finished"
"CoinstockX OÜ","C220233","10.03.2022","in progress"
"Coinuma OÜ","C201134","31.05.2020","finished"
"Coinuma OÜ","C211246","01.12.2021","finished"
"Coinuma OÜ","C230019","09.01.2023","finished"
"Coinuma OÜ","C202197","01.12.2020","finished"
"Coinuma OÜ","C210631","31.05.2021","finished"
"CoipaCapital OÜ","C221266","28.12.2022","in progress"
"CoipaCapital OÜ","C210715","28.06.2021","finished"
"CoipaCapital OÜ","C211322","28.12.2021","finished"
"CoipaCapital OÜ","C192437","29.12.2019","cancelled"
"CoipaCapital OÜ","C211293","16.12.2021","finished"
"Company for Carlos Vieira","C210787","15.07.2021","cancelled"
"Connectee OÜ","C201586","06.08.2020","cancelled"
"Connectee OÜ","C230095","08.02.2023","finished"
"Connectee OÜ","C220505","07.06.2022","finished"
"Convertency EST OÜ","C210215","18.02.2021","finished"
"Convertency EST OÜ","C220406","04.05.2022","finished"
"Convertency EST OÜ","C202179","26.11.2020","finished"
"Convertency EST OÜ","C211126","27.10.2021","finished"
"Convertency EST OÜ","C211005","20.09.2021","finished"
"Convertency EST OÜ","C210716","28.06.2021","finished"
"Convertency EST OÜ","C210007","04.01.2021","finished"
"Convertency EST OÜ","C211128","28.10.2021","finished"
"Convertency EST OÜ","C220006","04.01.2022","finished"
"Convertency EST OÜ","C220557","27.06.2022","finished"
"Convertency EST OÜ","C210604","24.05.2021","finished"
"Convertency EST OÜ","C201637","14.08.2020","finished"
"CorpHolding OÜ","C220284","28.03.2022","finished"
"Creekside Partnership OÜ","C201048","21.05.2020","finished"
"CrossGame OÜ","C230369","05.04.2023","finished"
"CrossGame OÜ (-16029744)","C201509","22.07.2020","finished"
"Cryp Ways Solutions OÜ","C191299","11.07.2019","cancelled"
"Crypto company for K.Treppides client","C210820","28.07.2021","cancelled"
"Crypto company setup in Estonia (name needed)","C220037","14.01.2022","not started"
"CryptoAssets Group OÜ","C220283","27.03.2022","finished"
"CryptoAssets Group OÜ","C210380","27.03.2021","finished"
"CryptoBanque OÜ","C210562","14.05.2021","cancelled"
"CryptoCoin.Pro OÜ","C220641","28.07.2022","finished"
"CryptoConsult OÜ","C220035","14.01.2022","finished"
"Cryptocurrency Solutions OÜ","C200385","02.03.2020","finished"
"CryptoEagle OÜ","C200408","03.03.2020","finished"
"CryptoEye OÜ","C201877","29.09.2020","finished"
